stid,stname,prid,kansoku,地点名,カナ,北緯,東経,標高,rain,wind,temp,sun,snow,etc,地域名,南緯,緯度
s47401,稚内,11,111111,稚内,ワツカナイ,45度24.9分,141度40.7分,2.8m,True,True,True,True,True,True,宗谷,,45度24.9分
a0002,沓形,11,111201,沓形,クツガタ,45度10.7分,141度08.3分,14m,True,True,True,True,False,True,宗谷,,45度10.7分
a0003,浜頓別,11,111200,浜頓別,ハマトンベツ,45度07.5分,142度21.0分,18m,True,True,True,True,False,False,宗谷,,45度07.5分
s47402,北見枝幸,11,111111,北見枝幸,キタミエサシ,44度56.4分,142度35.1分,6.7m,True,True,True,True,True,True,宗谷,,44度56.4分
a0005,歌登,11,111210,歌登,ウタノボリ,44度50.5分,142度28.8分,14m,True,True,True,True,True,False,宗谷,,44度50.5分
a1051,中頓別,11,111210,中頓別,ナカトンベツ,44度57.9分,142度16.8分,25m,True,True,True,True,True,False,宗谷,,44度57.9分
a1054,豊富,11,111210,豊富,トヨトミ,45度06.1分,141度46.8分,14m,True,True,True,True,True,False,宗谷,,45度06.1分
a1203,沼川,11,111210,沼川,ヌマカワ,45度14.9分,141度51.1分,23m,True,True,True,True,True,False,宗谷,,45度14.9分
a1207,船泊,11,111100,船泊,フナドマリ,45度26.2分,141度02.1分,8m,True,True,True,True,False,False,宗谷,,45度26.2分
a1284,宗谷岬,11,111201,宗谷岬,ソウヤミサキ,45度31.2分,141度56.1分,26m,True,True,True,True,False,True,宗谷,,45度31.2分
a1285,浜鬼志別,11,111210,浜鬼志別,ハマオニシベツ,45度20.1分,142度10.2分,13m,True,True,True,True,True,False,宗谷,,45度20.1分
a1512,本泊,11,111000,本泊,モトドマリ,45度14.5分,141度11.2分,30m,True,True,True,False,False,False,宗谷,,45度14.5分
a1528,声問,11,111010,声問,コエトイ,45度24.2分,141度48.1分,8m,True,True,True,False,True,False,宗谷,,45度24.2分
a1546,礼文,11,111201,礼文,レブン,45度18.3分,141度02.7分,65m,True,True,True,True,False,True,宗谷,,45度18.3分
a1593,幌泊,11,111000,幌泊,ホロドマリ,45度27.3分,141度02.3分,27m,True,True,True,False,False,False,宗谷,,45度27.3分
a1573,幌延,11,100000,幌延,ホロノベ,45度00.4分,141度51.1分,5m,True,False,False,False,False,False,宗谷,,45度00.4分
a1656,礼文上泊埼,11,100000,礼文上泊埼,レブンウエドマリサキ,45度25.4分,141度03.9分,13m,True,False,False,False,False,False,宗谷,,45度25.4分
a0024,天塩,13,111210,天塩,テシオ,44度53.6分,141度45.7分,9m,True,True,True,True,True,False,留萌,,44度53.6分
a0025,遠別,13,111200,遠別,エンベツ,44度43.1分,141度48.4分,7m,True,True,True,True,False,False,留萌,,44度43.1分
s47404,羽幌,13,111111,羽幌,ハボロ,44度21.8分,141度42.0分,7.9m,True,True,True,True,True,True,留萌,,44度21.8分
s47406,留萌,13,111111,留萌,ルモイ,43度56.7分,141度37.9分,23.6m,True,True,True,True,True,True,留萌,,43度56.7分
a0028,増毛,13,111200,増毛,マシケ,43度50.9分,141度30.6分,20m,True,True,True,True,False,False,留萌,,43度50.9分
a1112,古丹別,13,100010,古丹別,コタンベツ,44度15.9分,141度43.3分,15m,True,False,False,False,True,False,留萌,,44度15.9分
a1213,焼尻,13,111200,焼尻,ヤギシリ,44度25.7分,141度25.3分,38m,True,True,True,True,False,False,留萌,,44度25.7分
a1216,初山別,13,111210,初山別,ショサンベツ,44度31.4分,141度46.2分,27m,True,True,True,True,True,False,留萌,,44度31.4分
a1217,達布,13,111200,達布,タップ,44度02.9分,141度51.4分,30m,True,True,True,True,False,False,留萌,,44度02.9分
a1218,幌糠,13,111210,幌糠,ホロヌカ,43度51.2分,141度45.6分,20m,True,True,True,True,True,False,留萌,,43度51.2分
a0006,美深,12,111210,美深,ビフカ,44度28.8分,142度20.5分,77m,True,True,True,True,True,False,上川,,44度28.8分
a0007,ピヤシリ山,12,100000,ピヤシリ山,ピヤシリヤマ,44度26.1分,142度34.9分,980m,True,False,False,False,False,False,上川,,44度26.1分
a0008,名寄,12,111211,名寄,ナヨロ,44度22.2分,142度27.4分,89m,True,True,True,True,True,True,上川,,44度22.2分
a0009,西風連,12,100000,西風連,ニシフウレン,44度17.7分,142度21.5分,128m,True,False,False,False,False,False,上川,,44度17.7分
